ENG 1011,CSE 4509,IPE 3401,ENG 1013,TEC 2499,MATH 2183,CSE 3313,SOC 2101,CSE 4889,CSE 4611,CSE 4621,CSE 3521,CSE 1110,CSE 4325,ACT 2111,MATH 2205,CSE 4587,CSE 4893,CSE 3811,CSE 2213,PMG 4101,CSE 1325,BIO 3105,CSE 4329,CSE 4777,CSE 2233,CSE 4165,CSE 1111,CSE 4435,CSE 3711,CSE 4523,MATH 2201,CSE 3411,EEE 4261,CSE 2217,CSE 1115,CSE 3421,BDS 1201,ECO 4101,MATH 1151,CSE 4783,EEE 2113,EEE 2123,CSE 3715,CSE 4531,CSE 4181,PSY 2101,CSE 4891,CSE 1112,CSE 2215,CSE 4945,PHY 2105,CSE 4883,CSE 4485,CSE 4495,CSE 4633
1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
T1,T1,T1,T2,T2,T3,T3,T3,T3,T1,T1,T1,T2,T2,T3,T3,T3,T3,T1,T2,T2,T3,T3,T3,T3,T1,T1,T2,T2,T3,T3,T1,T1,T1,T2,T3,T3,T1,T1,T2,T2,T3,T3,T3,T3,T3,T1,T1,T2,T2,T2,T3,T3,T3,T3,T3
